               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  25,            0.060748,            0.069159,            0.014233,             0.80699,             0.70906,              0.7608,             0.41033,            0.056789,            0.068853,            0.013229,            0.007624,            0.007624,            0.007624
                  25,            0.060746,            0.069153,            0.014244,             0.81084,             0.71803,             0.76514,             0.41434,             0.05668,            0.068704,            0.013164,            0.007624,            0.007624,            0.007624
                  26,            0.060936,            0.069913,            0.014393,              0.8115,             0.72146,             0.76601,             0.41515,            0.056649,            0.068356,            0.013115,            0.007525,            0.007525,            0.007525
                  26,            0.060963,            0.069916,            0.014392,             0.81292,             0.71742,             0.76666,             0.41687,            0.056616,            0.068455,            0.013064,            0.007525,            0.007525,            0.007525
                  27,            0.060758,            0.069834,            0.014359,              0.8112,             0.72084,             0.77018,             0.41961,            0.056475,            0.068401,             0.01305,            0.007426,            0.007426,            0.007426
                  27,            0.060784,            0.069834,            0.014367,               0.814,             0.72164,             0.77126,             0.42089,            0.056453,            0.068346,            0.013031,            0.007426,            0.007426,            0.007426
                  28,            0.060739,            0.069139,            0.014327,             0.81453,             0.72338,             0.77268,             0.42357,            0.056317,            0.068145,            0.012965,            0.007327,            0.007327,            0.007327
                  28,            0.060747,             0.06916,            0.014324,             0.80734,             0.72847,             0.77073,             0.42119,            0.056244,             0.06809,            0.012927,            0.007327,            0.007327,            0.007327
                  29,            0.060634,            0.069735,            0.014202,             0.82348,             0.72692,             0.77758,             0.42548,            0.056187,            0.067739,            0.012914,            0.007228,            0.007228,            0.007228
                  29,            0.060609,            0.069764,            0.014213,             0.81865,             0.71879,             0.77314,             0.42408,            0.056167,            0.067733,            0.012924,            0.007228,            0.007228,            0.007228
                  30,              0.0605,            0.069882,            0.014163,             0.81461,             0.72939,             0.77712,             0.42618,            0.056036,            0.067703,              0.0129,            0.007129,            0.007129,            0.007129
                  30,            0.060509,            0.069869,            0.014189,             0.81757,             0.73385,             0.78092,             0.42739,            0.056001,            0.067617,            0.012878,            0.007129,            0.007129,            0.007129
                  31,            0.060249,             0.06929,             0.01405,             0.81693,             0.73431,             0.78054,             0.42931,            0.055923,            0.067675,            0.012827,             0.00703,             0.00703,             0.00703
                  31,            0.060252,            0.069334,            0.014052,             0.81375,             0.73248,             0.77974,             0.42718,            0.055944,             0.06785,            0.012811,             0.00703,             0.00703,             0.00703
                  32,            0.059905,            0.068378,            0.013947,             0.82127,             0.73974,             0.78365,             0.43085,            0.055867,            0.067526,            0.012802,            0.006931,            0.006931,            0.006931
                  32,            0.060054,            0.068843,            0.014054,             0.82144,             0.73201,             0.78446,             0.43266,            0.055783,            0.067531,            0.012759,            0.006931,            0.006931,            0.006931
                  33,            0.059942,            0.068753,             0.01402,             0.81837,             0.73662,             0.78485,             0.43274,            0.055725,            0.067473,            0.012697,            0.006832,            0.006832,            0.006832
                  33,            0.059741,            0.067676,            0.013933,             0.82337,             0.74042,             0.78238,             0.43215,            0.055785,            0.067501,            0.012777,            0.006832,            0.006832,            0.006832
                  34,             0.05984,            0.068986,            0.013936,              0.8276,             0.73752,             0.78689,              0.4348,            0.055624,            0.067346,            0.012696,            0.006733,            0.006733,            0.006733
